03/19/2023-23:30:25.663853  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.8:55322 -> 18.155.107.49:80
03/19/2023-23:30:25.741614  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.107.49:80 -> 192.168.1.8:55322
03/20/2023-20:35:57.292876  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-20:40:57.293321  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-20:46:27.248423  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-20:51:27.291944  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-20:56:27.326920  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:01:18.394357  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:47742 -> 91.189.91.39:80
03/20/2023-21:01:20.726899  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:47742 -> 91.189.91.39:80
03/20/2023-21:01:20.726899  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:47742 -> 91.189.91.39:80
03/20/2023-21:01:20.726899  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:47742 -> 91.189.91.39:80
03/20/2023-21:01:20.726899  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:47742 -> 91.189.91.39:80
03/20/2023-21:01:20.726899  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:47742 -> 91.189.91.39:80
03/20/2023-21:01:37.312870  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:06:50.744375  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:12:17.584971  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:17:20.374657  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:22:29.621261  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:27:46.874498  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
03/20/2023-21:33:33.813879  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.7:57621 -> 192.168.1.255:57621
